proyecto,eventualidad
"Operaciones Fleet || Data Lab","eventualidad registrada en datalab prueba 1"
"Operaciones Fleet || Nueva Instancia","eventualidad registrada en nueva isntacina prueba 1"
"TRIM || Marketplace || Caddi","Realizamos la sesión de entrega con éxito el usuario, realizara pruebas y dará sus comentarios y se procederá a cerrar proyecto o bien iniciar fase 3."
"Tesoreria || Adcontent H2H","En Stand By Inicio de nuevo proyecto para incluir pagos: Operaciones Fleet || Adcontent - Sfleet"
